basicName,subTitleName,rating,openDate,openTime,address,price,label,review,url,img,monOpen,monClose,tuesOpen,tuesClose,wedOpen,wedClose,thursOpen,thursClose,friOpen,friClose,satOpen,satClose,sunOpen,sunClose,recommend
nan gang zhan lan guan 2guan,南港展覽館二館, 4.7,['Open daily'],['09:00-22:00'],115台灣台北市南港區經貿二路2號,0.0,,Walk around the architectural design of the futuristic Nangang Software Industrial Park in the evening of the weekend. part 2,https://www.trip.com/travel-guide/attraction/taipei/city-90916397?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100l1200098rwbk0F6A1_C_180_240_Q70.webp?proc=source%2ftrip,540.0,1320.0,540.0,1320.0,540.0,1320.0,540.0,1320.0,540.0,1320.0,540.0,1320.0,540.0,1320.0,
Jiaxing Park,嘉興公園, 4.6,['Open daily'],['Open all day'],"Da’an District, Taipei City, Taiwan 106",0.0,,"Beautiful scenery, super worth playing, great place to take pictures",https://www.trip.com/travel-guide/attraction/taipei/jiaxing-park-24650654?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0n000000e0tjj7162_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Lengshuikeng Hot Springs,冷水坑溫泉,,['Tuesday-Sunday'],['10:30-13:00;6:00-9:00'],"No. 175號, Lane 101, Jingshan Rd, Shilin District, Taipei City, Taiwan 111",0.0,,,https://www.trip.com/travel-guide/attraction/taipei/lengshuikeng-hot-springs-136686008?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738_C_180_240_Q70.webp?proc=source%2ftrip,0.0,0.0,630.0,1980.0,630.0,1980.0,630.0,1980.0,630.0,1980.0,630.0,1980.0,630.0,1980.0,
Austin Land,奧斯丁夢想樂園 板橋麗寶店, 4.5,,,"220, Taiwan, New Taipei City, Banqiao District, Section 2, Xianmin Blvd, 3號5樓",0.0,,"(Business hours are inaccurate) The location is convenient, the venue is large and the maintenance is very clean. There are lockers for bags, there are restaurants, breastfeeding rooms, and there are many types of game items. The children have a great time.",https://www.trip.com/travel-guide/attraction/new-taipei-city/austin-land-141471999?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104a12000ceufoskAC23_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Shamao Mountain,紗帽山, 4.5,['Open daily'],['Open all day'],"Beitou Dist. | Mt. Shamao, Taipei, Taiwan",0.0,,"Yangmingshan National Park is a large park with many peaks, and Samao Mountain is just one of them. The mountain is not very high, only more than 600 meters. Mountaineering is relatively easy, and the surrounding vegetable is good.",https://www.trip.com/travel-guide/attraction/taipei/shamao-mountain-22846576?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww4312000946ffgf41B2_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Children Amusement Park,北投公園孩童遊戲場, 5,['Open daily'],['Open all day'],By Shilin District MRT Yuanshan Station,0.0,,"A newly rebuilt children's playground in Yuanshan Beiqian, there was a zoo in the early days, and the zoo was later relocated to the wooden gate. The whole area was upgraded and rebuilt. The focus was divided into two major pieces. One is a variety of mechanical amusement facilities suitable for children to play. This area needs to be sold separately. Another area was converted into a world of southern Anhui architecture yesterday, the whole area is full of various different ancient buildings, fully present the style of the early southern Anhui countryside, it is worth visiting, and it is free to open admission.",https://www.trip.com/travel-guide/attraction/taipei/children-amusement-park-39522058?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/35051e000001fsowuFBA9_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Lovers Lake Park,情人湖公園, 4.7,['Open daily'],['Open all day'],"Lane 208, Jijinyi Road, Anle District, Keelung City, Taiwan 204",0.0,,"Lover Lake is beautiful and deft, and the beauty is approachable. It is like a girl next door. It is only an hour away, and you can appreciate the scenery of the lake and mountains. The steam locomotive displayed at the entrance of Lover Lake Scenic Area is a steam train that was driven in the early days of Taiwan Railway. It was manufactured in 1942 and only four are currently left in Taiwan. The Lover Lake Park Visitor Service Center provides guidebooks, toilets, water dispensers, and the best thing is that Lover Lake Park is free of charge.",https://www.trip.com/travel-guide/attraction/keelung/lovers-lake-park-13506045?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1002080000003fnr3A343_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,2.0
Hulin Park,虎林公園, 4,['Open daily'],['Open all day'],"Lane 307, Songde Rd, Xinyi District, Taipei City, Taiwan 110",0.0,,"Every time I like to take a walk after dinner, take a good look at this park, it’s pretty good.",https://www.trip.com/travel-guide/attraction/taipei/hulin-park-24650391?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103s120006j0f2n2BA65_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
hua shan wen chuang yuan qu hong zhuan lu he yuan xi 1guan,華山文創園區紅磚六合院西1館, 5,['Open daily'],['9:00-21:00'],100北平東路30-11號,0.0,,"In 1917 (6 years of Japanese rule), Mitsui and Suzuki two chaebol joint venture established Taiwan Refined Cannabis Co., Ltd. The following year, in February 1918, Taiwan Refined Campanile Co., Ltd. merged into Nikko and became ""Japanese Campanile Co., Ltd. Taipei Branch"". The store is located in Kobe, Taipei is responsible for the production of refined campanile ""sublimation workshop"", located on the northwest side of the aroma winery. This is today’s “red brick courtyard.” The red brick courtyard is not only the second-longest building in Huashan Park, but also one of only two modern factories in Taiwan's existing Japanese-rule mid-term engaged in camphor processing and refining (the other is the South Gate Workshop of the Monopoly Bureau, now converted into the South Gate Park of Taiboguan); In May 2007, it was found that the only remaining Japanese-rule period refined camphor flue in Taiwan was listed as a historical building in October of the same year, witnessing the development of Taiwan's camphor industry.",https://www.trip.com/travel-guide/attraction/taipei/city-121152277?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01A4m22158rd1wjq963B1_C_180_240_Q70.webp?proc=source%2ftrip,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,540.0,1260.0,
The Koo’s Dadaocheng Residence,大稻埕辜宅, 4.3,['Open daily'],['Open all day'],"No. 9, Lane 303, Guisui St., Datong Dist., Taipei 103, Taiwan",0.0,,Dadaoyan Pier is almost a must-see pilgrimage attraction every August! ! !,https://www.trip.com/travel-guide/attraction/taipei/the-koos-dadaocheng-residence-50546666?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105m120009bfubyt351F_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Meiluen Mountain Park,美侖公園, 5,['Open daily'],['Open all day'],"No. 190, Meilun St., Shilin Dist., Taipei, Taiwan",0.0,,"Meilun Park - in the middle of Taipei New Children's Paradise, Taiwan Science Education Museum, Taipei Astronomical Science Education Museum, is a six-hectare oversized park, and is a rare large green park in Taipei City. The park has large lawns, old trees, sports space, children's amusement facilities, astronomical and scientific game displays, and the art of landscapes was added in 2017.",https://www.trip.com/travel-guide/attraction/taipei/meiluen-mountain-park-58312768?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103c22155ckrc9uoF540_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Zhuzihu Alocasia Garden,竹子湖海芋園, 4.8,['Open daily'],['Open all day'],"Beitou District, Taipei City, Taiwan 112",0.0,,"Come here on a sunny day with three or five friends. There are many bamboo-woven gadgets in the village (the price is slightly more expensive). There are also many places to drink tea. We chose a yard outside the village, very close to Chongqing Road, too hot, everyone does not want to go shopping, simply drink tea and take pictures. The minimum consumption of tea is 15/cup. Reminder: Don't come on the weekend when the big sun is shining. There are many cars, many people, and the car is not easy to stop.",https://www.trip.com/travel-guide/attraction/taipei/zhuzihu-alocasia-garden-39037194?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0n13000000v4wmo8974_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Dabangen Forest,大板根森林, 4.5,,,Gap in the Three Gorges area,0.0,,"(Business hours are inaccurate) There are not many tourists in Dabangen, there are plants everywhere, and the weather is very powerful, quite a beautiful scenic spot, beautiful mountains and clear waters. The trees are shaded. And the air is particularly fresh, the sky is very blue and beautiful!",https://www.trip.com/travel-guide/attraction/new-taipei-city/dabangen-forest-92941?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104d12000brmr8tc34D9_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Taoyuansian Valley,桃園仙谷, 4.3,['Open daily'],['8:00-17:00'],"No.5-1, 5th Neighborhood, Shanggaorao Village, Fuxing District, Taoyuan County",0.0,,"In addition to tulip fields, plum blossoms in January, cherry blossoms in February and peaches in March are the perfect matches for gathering in Xiangu during the winter, Tibet and spring.",https://www.trip.com/travel-guide/attraction/taoyuan/taoyuansian-valley-18039696?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww0r12000946e81m24AC_C_180_240_Q70.webp?proc=source%2ftrip,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,480.0,1020.0,1.5
Taiwan Insect Museum,台灣昆蟲館, 4.1,"['Wednesday-Friday', 'Saturday-Sunday']","['16:00-21:00', '12:00-20:00']","No. 43, Ln. 244, Rui'an St., Da'an Dist, Taipei, Taiwan",0.0,,This is a very outgoing Museum of insects in Taiwan. It is very famous both in Taiwan and in the world. There are many kinds of insects in it. It can broaden one's horizon very well and is worth visiting.,https://www.trip.com/travel-guide/attraction/taipei/taiwan-insect-museum-22847510?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww6h120009471v84EF8C_C_180_240_Q70.webp?proc=source%2ftrip,0.0,0.0,0.0,0.0,960.0,1260.0,960.0,1260.0,960.0,1260.0,720.0,1200.0,720.0,1200.0,
bei tou la ji fen hua chang zhu ti guan,北投垃圾焚化廠主題館, 5,['Tuesday-Sunday'],['8:30-21:00'],112台灣台北市北投區洲美街271號,0.0,,"The scenery here is unique, the scenery here is unique",https://www.trip.com/travel-guide/attraction/taipei/city-136686325?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153_C_180_240_Q70.webp?proc=source%2ftrip,0.0,0.0,510.0,1260.0,510.0,1260.0,510.0,1260.0,510.0,1260.0,510.0,1260.0,510.0,1260.0,
Chiao-Hu Wonderland,巧虎夢想樂園, 5,"['Monday-Friday', 'Saturday-Sunday']","['11:30-18:00', '10:00-18:30']",32056台灣桃園市中壢區春德路103號置地廣場內1樓,0.0,,My daughter likes ～ very much.,https://www.trip.com/travel-guide/attraction/taoyuan/chiao-hu-wonderland-143198288?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo4412000dzc6ci6A720_C_180_240_Q70.webp?proc=source%2ftrip,690.0,1080.0,690.0,1080.0,690.0,1080.0,690.0,1080.0,690.0,1080.0,600.0,1110.0,600.0,1110.0,
Shimen Cave,石門洞, 4.6,['Open daily'],['00:00-23:59'],"Jianlu Vil., Shimen Dist., Shimen, New Taipei 253 Taiwan",0.0,,Nice spot up on the very north coast. We went to watch the sunset on the beach.,https://www.trip.com/travel-guide/attraction/new-taipei-city/shimen-cave-10539746?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1009060000001ekrh8806_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1439.0,0.0,1439.0,0.0,1439.0,0.0,1439.0,0.0,1439.0,0.0,1439.0,0.0,1439.0,2.0
sun zhong shan ji nian guan - bo ai yi lang,孫中山紀念館-博愛藝廊,,['Open daily'],['Opening hours TBD'],110054臺北市信義區仁愛路四段505號1樓,0.0,,,https://www.trip.com/travel-guide/attraction/taipei/city-121152129?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g1/M03/AF/64/CghzfFW7IBCAUbLaAAAlnuKOkAQ344_C_180_240_Q70.webp?proc=source%2ftrip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jurassic Museum,侏羅紀博物館, 5,,,"No. 125, Section 1, Xinnan Road B1, Luzhu District, Taoyuan 338 Taiwan",0.0,,(Business hours are inaccurate) Interesting.,https://www.trip.com/travel-guide/attraction/taoyuan/jurassic-museum-51634551?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3v1200094bchu97773_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Gui Shan Dao Seafood Restaurant,龜山島, 5,,,"No. 71, Section 2, Anhe Road, Daan District",0.0,,(Business hours are inaccurate) It is recommended to arrange a glide trip to see the beautiful scenery of Guishan Island.,https://www.trip.com/travel-guide/attraction/taipei/gui-shan-dao-seafood-restaurant-51628701?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104l12000as1nszfF204_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Legacy Taipei,傳音樂展演空間, 4.5,['Monday-Friday'],['10:00-19:00'],"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Bade Road",0.0,,"This is a area where the reputation of tourists is not very big to reduce house prices. The area is not as big as Songshan, but there are special performance venues. For those who like niche music, you can come and see if there are performances.",https://www.trip.com/travel-guide/attraction/taipei/legacy-taipei-10354905?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10030r000000hbiz4B808_C_180_240_Q70.webp?proc=source%2ftrip,600.0,1140.0,600.0,1140.0,600.0,1140.0,600.0,1140.0,600.0,1140.0,0.0,0.0,0.0,0.0,
"St Christopher‘s Church,Taipei",中山北路聖多福天主堂, 4.3,['Open daily'],['10:00-20:00'],"No. 51, Section 3, Zhongshan North Road, Zhongshan District, Taipei City",0.0,,"The Catholics in Taipei are mainly Filipino laborers, so coming here on weekends can meet many Filipinos at parties and is a way for them to communicate their emotions.",https://www.trip.com/travel-guide/attraction/taipei/st-christophers-churchtaipei-18700412?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100i050000000zommA7C6_C_180_240_Q70.webp?proc=source%2ftrip,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,600.0,1200.0,
Chenguang Bridge,辰光橋, 5,['Open daily'],['Open all day'],"241, Taiwan, New Taipei City, Sanchong District, Happy Water Park",0.0,,"Walking on the river bank in the evening - Today is the double flood control road section, used to watch the sunset on the Chenguang Bridge, today especially from the bridge, from different angles of this specially designed walking empty bridge.",https://www.trip.com/travel-guide/attraction/new-taipei-city/chenguang-bridge-78468926?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01035120008jnyhzc7E0F_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
Mount Guanyin,觀音山, 4.7,,,"Mount Guanyin, Bali District, New Taipei City, Taiwan 249",0.0,,"(Business hours are inaccurate) Guanyin Mountain Hard Hanling Trail is a very popular mountaineering trail in Taipei. The end of the Hard Hanling is the highest peak of Guanyin Mountain. It can overlook the 270-degree beautiful scenery of Taipei Basin. It is also a good place to watch the sunrise and night view of Taipei City! Learn about the hard man leading the road line, traffic, you and I can climb the hard manling to challenge the muscle endurance of the thigh! The Hard Hanling Trail along the way is densely shaded and shaded. It is the most comfortable to walk in spring and autumn. In summer, you can feel the coolness of the forest and get rid of the sultry discomfort brought by the urban heat island effect.",https://www.trip.com/travel-guide/attraction/new-taipei-city/mount-guanyin-24653015?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b0r000000h2kp558C3_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,
Kengkou Community Paint Village,坑口彩繪村, 4.4,['Open daily'],['6:00-17:00'],"16 neighbours, Hangkou Village, Luzhu Township",0.0,,"This is a country on the edge of the city, a little far from the hustle and bustle of the cozy, a little romantic stroll together, plus a few childhood memories of nostalgia, the flowers and vegetables in the field are the best theme for children to know nature!",https://www.trip.com/travel-guide/attraction/taoyuan/kengkou-community-paint-village-39521908?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100mhk1438pe5qr5s3C19_C_180_240_Q70.webp?proc=source%2ftrip,360.0,1020.0,360.0,1020.0,360.0,1020.0,360.0,1020.0,360.0,1020.0,360.0,1020.0,360.0,1020.0,
Guishan Island,龜山島, 4.5,,,"Guishan Island, Toucheng Township, Yilan County, Taiwan 261",0.0,,"(Business hours are inaccurate) Guishan Island, also known as Guishan Island, is the largest island in Yilan County, and is also the active volcano that still exists in Taiwan. The name is similar to the turtle. The island of Guishan was listed as a military heavy area and became a control area for the national army. On August 1, 2000, Guishan Island officially opened for sightseeing. Special geology, forming many spectacular scenery such as Guishan Asahi, Guidao smoke, glasses hole stalactites, turtle eggs, turtle rock wall, turtle hat, turtle tail and other strange eight scenes.",https://www.trip.com/travel-guide/attraction/yilan/guishan-island-87628?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0b15000000xp7emE590_C_180_240_Q70.webp?proc=source%2ftrip,,,,,,,,,,,,,,,10.0
Sanxia Temple,三峽清水祖師廟, 4.6,['Open daily'],['05:00-21:30'],"No. 1, Zhangfu St, Sanxia District, New Taipei City, Taiwan 237",0.0,,"The ancestral temple, known as the Oriental Art Hall, was built on the banks of the Three Gorges River. The overall building is magnificent and rebuilt by Master Li Meishu. Whether it is stone carving, wood carving, shearing sticky, brick carving and other architectural details, it has reached the highest level of the craft. It is a must-visit classic architectural work of Taiwan architecture students when they study.",https://www.trip.com/travel-guide/attraction/new-taipei-city/sanxia-temple-92955?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106a120009is7fs35477_C_180_240_Q70.webp?proc=source%2ftrip,300.0,1290.0,300.0,1290.0,300.0,1290.0,300.0,1290.0,300.0,1290.0,300.0,1290.0,300.0,1290.0,2.0
Fu Bell,國立臺灣大學傅鐘, 5,['Open daily'],['Open all day'],"No. 1號, Section 4, Roosevelt Rd, Da’an District, Taipei City, 106",0.0,,"Taiwan University Library - Formerly the Library affiliated to Taipei Imperial University during the Japanese rule of Taiwan, founded in March 1928. Since the old library was built during the Japanese period, with the increase in the number of books and departments, its design configuration has not met the needs of modern operation and insufficient space, so the plan to build a new museum since 1982, the new museum was officially completed and opened on November 14, 1998.",https://www.trip.com/travel-guide/attraction/taipei/fu-bell-137362279?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh542224woxnjqtsF32B_C_180_240_Q70.webp?proc=source%2ftrip,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,0.0,1440.0,
