basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Taiwan Museum,國立臺灣博物館, 4.7/5,['Tuesday-Sunday:'],['9:30-17:00'],Monday:,Closed all day,2-4 hours,"No. 2, Xiangyang Road, Zhongzheng District, Taipei City",$3.56 ,觀光,"The museum located inside 228 Park is exhibited through various themes rather than exhibiting Taiwan relics. It is within walking distance from Ximending, so it is good to see it together when sightseeing around.",https://www.trip.com/travel-guide/attraction/taipei/taiwan-museum-10520764?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100e1f000001gt2ez0166_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Children's Amusement Park,臺北市立兒童新樂園, 4.8/5,"['Tuesday-Friday:', 'Saturday-Sunday:']","['09:00-17:00', '09:00-18:00']",Monday:,Closed all day,3-4 hours,"No. 55, Section 5, Chengde Rd, Shilin District, Taipei Cit 11169",$5.22 ,活動,"The kids enjoyed the rides. But i regrets the time of visit because i visited holiday so a lot of people went there. When you like to take a ride you need to fall in long line so its a waste of time of waiting… but overall is good for families. They have food courts when your hungry, a lot of rides and toys for kids, playground for them… and my advise is just go when its not holiday to enjoy more…",https://www.trip.com/travel-guide/attraction/taipei/taipei-children-s-amusement-park-22846533?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100a1f000001grm980496_C_180_240_Q70.webp?proc=source%2ftrip
Ningxia Night Market,寧夏夜市, 4.5/5,['Open daily'],['17:00-23:30'],N/A,N/A,1-3 hours,"103, Taiwan, Taipei City, Datong District, Ningxia Rd, Ningxia Night Market",Free,餐飲,"A local night market with various kind of delicious food, it is always crowded with people",https://www.trip.com/travel-guide/attraction/taipei/ningxia-night-market-10539668?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo0212000c6bl1f2E174_C_180_240_Q70.webp?proc=source%2ftrip
Miniatures Museum of Taiwan,袖珍博物館, 4.7/5,['Tuesday-Sunday:'],['10:00-18:00'],N/A,N/A,1-3 hours,台北市中山?建?北路一段96?B1,$5.73 ,觀光,"Still a good place to visit even if the ticket price is a little bit high, especially for those who appreciate miniature art or candy toys. Not to mention that it's the only miniature museum in Taipei.",https://www.trip.com/travel-guide/attraction/taipei/miniatures-museum-of-taiwan-10520704?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p0500000011o8mA91C_C_180_240_Q70.webp?proc=source%2ftrip
2024 (G)I-DLE WORLD TOUR [iDOL] in Taipei｜Concert,【台北】（G）I-DLE 2024《iDOL》世界巡迴演唱會,N/A,['Saturday-Sunday:'],['undefined'],N/A,N/A,N/A,"No. 2, Section 4, Nanjing E Rd, Songshan District, Taipei City",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/2024-i-dle-world-tour-idol-in-taipeiconcert-146186245?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100u1f000001gqamj946C_C_180_240_Q70.webp?proc=source%2ftrip
The Red House,西門紅樓, 4.5/5,"['Tuesday-Thursday:', 'Friday,Sunday:', 'Saturday:']","['11:00-20:00', '11:00-21:00', '11:00-22:00']",Monday:,Closed all day,1-3 hours,"No. 10, Chengdu Rd, Wanhua District, Taipei City, Taiwan 108",Free,觀光,Ximen red house is a historical landmark in the bustling district of ximending. Good visit,https://www.trip.com/travel-guide/attraction/taipei/the-red-house-10524144?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106j120008kejm6o4C55_C_180_240_Q70.webp?proc=source%2ftrip
2024 SUPER JUNIOR <SUPER SHOW SPIN-OFF : Halftime> in TAIPEI,N/A,N/A,['Friday-Sunday:'],['undefined'],N/A,N/A,N/A,"Taipei Arena, No. 2, Section 4, Nanjing E. Road, Songshan District, Taipei City",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/2024-super-junior-super-show-spin-off-halftime-in-taipei-145104195?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106d12000e0cbt7eDACA_C_180_240_Q70.webp?proc=source%2ftrip
Xiang Mountain,象山, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"150 Lane, Section 5, Xinyi Road, Xinyi District, Taipei, Taiwan",Free,活動,"As the name of the Xiangshan elephant near the city center, you can see big stones. The most important thing is that the background of Taipei 101 building is a beautiful spectacular and photo restaurant. The transportation is 10 minutes' walk from the red line Xiangshan station. It is the entrance street to the mountain climbing of Xiangshan, and the height of the stairs is difficult at first, but it is usually a short walk that can be reached in 20-30 minutes.",https://www.trip.com/travel-guide/attraction/taipei/xiang-mountain-10520699?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M00/72/AC/CggYHFY7GxeANGcwABlN57UW0jM497_C_180_240_Q70.webp?proc=source%2ftrip
Yongkang Street,永康街, 4.5/5,['N/A'],['N/A'],N/A,N/A,2-3 hours,"Yongkang Street, Daan District, Taipei City, Taiwan",Free,活動,"There are many shops from chain stores to private shops, and you can enjoy everything from shopping to dining. The famous beef noodle shop is lined up outside even on weekdays. The meat is also solid and corresponds to several foreign languages. The general store is also cute and is always crowded with tourists.",https://www.trip.com/travel-guide/attraction/taipei/yongkang-street-100304?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106z12000echyq3hA3B6_C_180_240_Q70.webp?proc=source%2ftrip
Beitou Hot Spring Museum,北投溫泉博物館, 4.6/5,['Tuesday-Sunday:'],['10:00-18:00'],N/A,N/A,1-2 hours,"No. 2, Zhongshan Rd, Beitou District, Taipei City, Taiwan 112",Free,觀光,Amazing destination to visit for a half day your at Beitou. Friendlt museum staffs and well organised guided pathway to walk around in the museum so you won't miss out any section. There are some interactive activities for us to experience the old days hot spring and can take lots of pictures too. Highly recommended.,https://www.trip.com/travel-guide/attraction/taipei/beitou-hot-spring-museum-10530509?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100k0z000000nj48a3F22_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Arena,台北小巨蛋, 4.6/5,['Open daily'],['9:00-22:00'],N/A,N/A,2-4 hours,"No. 2號, Section 4, Nanjing E Rd, Songshan District, Taipei City, Taiwan 105037",Free,活動,"Taipei Dome - The multi-purpose stadium in Songshan District, Taipei is an arena-level venue. In addition to providing sports competition venues, large-scale literary events such as concerts and awards ceremonies are often held, which is one of the pointers for the Taiwan entertainment industry.",https://www.trip.com/travel-guide/attraction/taipei/taipei-arena-10758481?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M0B/73/14/CggYHFY7IaGAZ7ddACVnca2cNc4174_C_180_240_Q70.webp?proc=source%2ftrip
The Grand Hotel Taipei West Secret Passage,圓山大飯店密道, 5/5,['Open daily'],['10:00-15:30'],N/A,N/A,N/A,"No. 1, Section 4, Zhongshan North Road, Zhongshan District, Taipei City",$10.99 ,活動,"Yuanshan Hotel, a long time ago, a five-star hotel, has been here for many artists and diplomatic heads of state. Equipment Billiards table, pool, table tennis table, gym can be used. Holidays to a good place, the pool is very clean, foreigners will exercise together in the morning",https://www.trip.com/travel-guide/attraction/taipei/the-grand-hotel-taipei-west-secret-passage-140042904?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b1f000001gsokj2A73_C_180_240_Q70.webp?proc=source%2ftrip
Xiangshan (Elephant Mountain) Nature Trail,象山步道, 4.8/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"Lane 150, Songren Rd., Taipei, Taiwan",Free,活動,An easy hike at elephant mountain. You able to do night hike since there are lamps all the way up the mountain! can see taipei 101 from the top of the mountain .,https://www.trip.com/travel-guide/attraction/taipei/xiangshan-nature-trail-20905962?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10091f000001gsmpqB4FF_C_180_240_Q70.webp?proc=source%2ftrip
Dihua Street,迪化街, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"Section 1, Dihua Street, Datong District, Taipei City",Free,活動,"Dihua Old Street is a nice place to visit around Lunar New Year because of the lanterns, but it can get very crowded.I most recently visited during the summer and it had a relaxed feeling. The historic buildings are very photogenic of course, and you can browse the shops that range from household items, tote bags, kitchen ware, to Chinese medicine and teas, dried fruit and nuts, to souvenirs, bubble tea and pineapple cakes.",https://www.trip.com/travel-guide/attraction/taipei/dihua-street-10524143?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105a12000bi3d9d922D4_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Fine Arts Museum,臺北市立美術館, 4.7/5,"['Tuesday-Friday,Sunday:', 'Saturday:']","['9:30-17:30', '9:30-20:30']",Monday:,Closed all day,2-4 hours,"No.181, Sec. 3, Zhongshan N. Rd., Zhongshan Dist., Taipei City 10461, Taiwan",$45.77 ,觀光,Taipei Art Gallery Collection of many works of art and shows with a variety of photo angles.,https://www.trip.com/travel-guide/attraction/taipei/taipei-fine-arts-museum-80596?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01007120008f0oes16DB8_C_180_240_Q70.webp?proc=source%2ftrip
S2O Taiwan Songkran Music Festival,S2O Taiwan Songkran 電子音樂節,N/A,['Saturday-Sunday:'],['undefined'],N/A,N/A,N/A,台灣台北市中山區濱江街5號大佳河濱公園,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/s2o-taiwan-songkran-music-festival-144938227?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10090y000000mestq4E2F_C_180_240_Q70.webp?proc=source%2ftrip
Sisinan Village Museum,臺北眷村文物館, 4.6/5,['Tuesday-Sunday:'],['9:00-17:00'],N/A,N/A,1-2 hours,"No.50 Songqing Street, Xinyi District, Taipei, Taiwan",Free,觀光,this village is around 5 mins walk from taipei 101 building. you can come up from mrt taipei 101 station exit 2 and you can take nice photos of the taipei101 buidling. there is a nice coffee shop and boba tea shop in the village too.there is bathroom in the area too; recommend this place if you want to take photo of the building,https://www.trip.com/travel-guide/attraction/taipei/sisinan-village-museum-22846545?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10071f000001h70nm939C_C_180_240_Q70.webp?proc=source%2ftrip
Miramar Entertainment Park,美麗華百樂園, 4.6/5,['Open daily'],['13:00-22:00 (Tickets available until:21:50)'],N/A,N/A,1-3 hours,台北市中山區敬業三路20號,Free,活動,"fantastic shopping mall with food court at the basement level, a grocery store, restaurants placed in between levels, an IMAX theater, arcade room and a ferris wheel on the top floor.Easy to park and many good restaurants around.Good place for dating. must try Ferris wheel",https://www.trip.com/travel-guide/attraction/taipei/miramar-entertainment-park-10548367?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101s12000deboyhl4232_C_180_240_Q70.webp?proc=source%2ftrip
Miramar Ferris Wheel,美麗華百樂園摩天輪, 4.8/5,['Open daily'],['13:00-22:00'],N/A,N/A,20-30 minutes,"5th floor, No.20, Jingye 3rd Road, Zhongshan District, Taipei City",$4.11 ,活動,"Miramar Ferris Wheel - A really nice place in a remote area, have so many famous and delicious food restaurant, have an Imax cinema, a giant ferris wheel, and a quite beautiful building",https://www.trip.com/travel-guide/attraction/taipei/miramar-ferris-wheel-30637274?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M0A/70/5A/CggYHVY7GduAbllEAB1Jv3_P_KI219_C_180_240_Q70.webp?proc=source%2ftrip
Huashan 1914 Creative Park,華山1914文創園區, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"No. 1, Section 1, Baba Road, Taipei",Free,活動,"Recommend for kids! Great location, great staffs... enjoy the play & park nearby.... toilets are not many.",https://www.trip.com/travel-guide/attraction/taipei/huashan-1914-creative-park-10520725?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0102t120009f3yju4BF0F_C_180_240_Q70.webp?proc=source%2ftrip
Chang Dai-Ch'ien Residence,張大千先生紀念館, 4.5/5,['Saturday-Sunday:'],['10:30-11:10'],N/A,N/A,1-2 hours,"No. 2, Ln. 342, Sec. 2, Zhishan Rd., Shilin Dist, Taipei, Taiwan",Free,觀光,"Zhang Daqian Museum is located on the top of the round mountain of Dongguan Road, Dongxing District, Neijiang City. It has a superior location, convenient transportation and convenient travel. Zhang Daqian Memorial Hall was officially opened in 1992 and opened for free in 2010! It is the best place to travel on weekends!",https://www.trip.com/travel-guide/attraction/taipei/chang-dai-ch-ien-residence-13424702?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p11000000qua3vF7B4_C_180_240_Q70.webp?proc=source%2ftrip
Songshan Cultural and Creative Park,松山文創園區,N/A,['Open daily'],['8:00-22:00'],N/A,N/A,2-3 hours,"No. 133, Guangfu S Rd, Xinyi District, Taipei City, Taiwan 110",Free,活動,"Songshan Cultural and Creative Park - located in Xinyi District, Taipei, built in 1937, formerly known as the ""Taiwan Governor's Mansion Monopoly Bureau Songshan Tobacco Workshop"" during the Japanese rule period, officially transformed into the ""Songshan Cultural and Creative Park"" in 2010.",https://www.trip.com/travel-guide/attraction/taipei/songshan-cultural-and-creative-park-10523535?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10071f000001h6zk780D1_C_180_240_Q70.webp?proc=source%2ftrip
Bopiliao Historical Block,剝皮寮歷史街區, 4.4/5,['Tuesday-Sunday:'],['9:00-18:00'],N/A,N/A,1 hour,"Lane 173, Kangding Rd, Wanhua District, Taipei City, Taiwan 108",Free,觀光,"Peeled scorpion - The settlement formed in the early Qing Dynasty ． spanning the three eras of Qing Dynasty, Japanese rule and Republic of China, mixing architectural styles and humanistic features of different periods, and becoming a city street that represents the characteristics of scorpion. In 2009, the renovated ""Peeled Historical District"" was completed, standing in the lanes of Wanhua District, Taipei City today, continuing the historical trajectory of more than 100 years: the red and brown brick walls of arched pavilion feet, surrounded by the ancient atmosphere. part 2",https://www.trip.com/travel-guide/attraction/taipei/bopiliao-historical-block-10520717?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww2e120009rlbyvzAB05_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Astronomical Museum,臺北市立天文科學教育館, 4.8/5,"['Tuesday-Friday,Sunday:', 'Saturday:']","['09:00-17:00', '09:00-20:00']",N/A,N/A,1-3 hours,"No.363 Jihe Road, Taipei 11160, Taiwan",$2.87 ,觀光,"A place with a long knowledge of the Taipei Municipal Astronomical Science Education Museum introduces a lot of astronomical knowledge, and some achievements in human exploration of astronomy, and many instruments used in astronomical observation.",https://www.trip.com/travel-guide/attraction/taipei/taipei-astronomical-museum-13425886?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/fd/tg/g4/M0B/72/67/CggYHFY7FqmAAwhJAAf3XJWWT2Y476_C_180_240_Q70.webp?proc=source%2ftrip
Xingtian Temple,行天宮, 4.7/5,['Open daily'],['4:00-22:00'],N/A,N/A,1-2 hours,"No.109 Er Section, Minquan East Road, Taipei, Taiwan",Free,觀光,"The Temple of Heaven - or the Temple of the Lord of God, also known as the Temple of the Lord of God (as printed on the poems of his temple), the Lord God is the Lord of God Guan Sheng Emperor (the Lord of God, from God Guan Pingguan Sheng Prince Ping, Zhou Cang Zhou Enshi Cang), Lu En's Lord Dongbin, Zhang En's Lord Shan, Wang En's Lord Shan, Yue En's Lord Fei and other five holy benefactors, It is a well-known Guandi Temple in Taiwan, built by the Huang Xuankong Road director who runs the coal mining business.",https://www.trip.com/travel-guide/attraction/taipei/xingtian-temple-85911?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100g1f000001gqx28F1DF_C_180_240_Q70.webp?proc=source%2ftrip
National Revolutionary Martyrs' Shrine,國民革命忠烈祠, 4.5/5,['Open daily'],['9:00-17:00'],N/A,N/A,1-3 hours,"No. 139, Beian Rd, Zhongshan District, Taipei City, Taiwan 10491",Free,觀光,"Xinbei City Zhonglie - The original site is an ancient battlefield of the battle of Shanwei during the Qing-French War. The 14-year shrine of Showa during the Japanese rule (1939) was built to serve the emperor of Meiji. Taiwan was dumped in disrepair after the war, which was like ruins. In 1975, the Taipei County Government demolished the shrine and converted it into a Chinese palace form of the Loyalty Temple, known as the ""Taipei County Loyalty Temple"". Since the temple is surrounded by green and ancient pine, you can listen to Songtao and overlook Guanyin Mountain in the downstairs of the brand of Zhonglie Yong, which has a beautiful view and is one of the eight old freshwater scenery. It has the name of ""Lie Yong Songtao"". In 2011, it was renamed Xinbei City with Taipei County.",https://www.trip.com/travel-guide/attraction/taipei/national-revolutionary-martyrs-shrine-10354600?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo3p12000cg1m8f778D7_C_180_240_Q70.webp?proc=source%2ftrip
Jiannan Mountain night view,劍南山夜景, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"No. 181, Ziqiang Tunnel, Zhongshan District, Taipei City, Taiwan 10491",Free,觀光,"Very good trip, suitable for the whole family to go out together, the scenery and environment are good, it is very convenient, will come again next time.",https://www.trip.com/travel-guide/attraction/taipei/jiannan-mountain-night-view-39040465?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100g1f000001gqyd17B05_C_180_240_Q70.webp?proc=source%2ftrip
Huaxi Street Night Market,臺北華西街夜市, 4.5/5,['Open daily'],['16:00-23:59'],N/A,N/A,1-3 hours,"Huaxi St, Wanhua District, Taipei City, Taiwan 108",Free,餐飲,"very good food,good value for money,convenient transportation,close to longshan temple,a short walk away",https://www.trip.com/travel-guide/attraction/taipei/huaxi-street-night-market-98005?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100p1f000001gpgq99186_C_180_240_Q70.webp?proc=source%2ftrip
Taipei Botanical Garden,台北植物園, 4.7/5,['Open daily'],['6:00-20:00'],N/A,N/A,1-3 hours,"No. 53, Nanhai Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,活動,"Taipei Botanical Garden New Greenhouse - One of the National Botanical Garden Ark Programs, the refurbishment of the old circular greenhouses that have become dangerous buildings to preserve precious plant species in the new greenhouse space, and the extension of the original round greenhouse with the surrounding landscape and space is also handled. Let this new greenhouse space also naturally attract tourists to enter, so that plants and tourists can share this comfortable new place.",https://www.trip.com/travel-guide/attraction/taipei/taipei-botanical-garden-10520758?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1me2212000dhojdteE66E_C_180_240_Q70.webp?proc=source%2ftrip
Qingtiangang Grassland,擎天崗大草原, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"No. 246, Lane 101, Jingshan Rd, Shilin District, Taipei City, Taiwan 111",Free,活動,"On the way to Wuzui Mountain, Qingtiangang, the mountains are rolling and the grasslands are vast. It is recommended. Because there are restrictions on tourists, Wuzui Mountain will not be too many people. You have to book early.",https://www.trip.com/travel-guide/attraction/taipei/qingtiangang-grassland-24652298?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101d120005w8yqvj5705_C_180_240_Q70.webp?proc=source%2ftrip
Normal University Night Market,師大夜市, 4.5/5,"['Monday-Friday:', 'Saturday-Sunday:']","['16:00-23:00', '16:00-00:00']",N/A,N/A,1-3 hours,"Lane 39, Shida Rd, Da’an District, Taipei City, Taiwan 106",Free,餐飲,"One of the most well organised markets i had ever visited. This night market is not big, just a long stretch street about 1,000 meter. Between the street there were many shops selling popular items, clothing, goods and food. This market was just next to the University. Its popular for the university students.",https://www.trip.com/travel-guide/attraction/taipei/normal-university-night-market-98081?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100u0d0000006ujsd093A_C_180_240_Q70.webp?proc=source%2ftrip
