basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Niunai (Milky) Lake,陽明山牛奶湖, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"No.170, 101Ln., Jingshan Rd., Shilin Dist., Taipei, Taiwan",Free,,"Milk Lake is located next to the parking lot of Yangming Mountain Cold Water Pit. It is a lake with a mysterious veil. There is no way to reach it, and it can only be seen for a while through the trail and nearby commanding heights. The pool water is made of sulfur particles that are deposited into milky white.",https://www.trip.com/travel-guide/attraction/taipei/niunai-lake-22846592?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10020r000000gx0m7598E_C_180_240_Q70.webp?proc=source%2ftrip
Keshi Taipei Concert 2025｜keshi: REQUIEM TOUR in Taipei 2025｜NTSU Arena (Linkou Arena),【台北】keshi 2025《REQUIEM》巡演,N/A,['Open daily'],['undefined'],N/A,N/A,N/A,"No. 250, Wenhua 1st Road, Guishan District, Taoyuan City",Free,,N/A,https://www.trip.com/travel-guide/attraction/taoyuan/keshi-taipei-concert-2025keshi-requiem-tour-in-taipei-2025ntsu-arena-148509329?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105p12000euviygi71B1_C_180_240_Q70.webp?proc=source%2ftrip
Monga Dizang Temple,艋舺地藏王廟, 4/5,['Open daily'],['5:40-20:45'],N/A,N/A,N/A,"No. 245號, Xichang St, Wanhua District, Taipei City, Taiwan 108",Free,,"This is a small temple, 100 on the right side of the main entrance of Longshan Temple, is the temple of Longshan Temple, the temple built for the Qianlong years, for the third-level monuments in Taipei City, Longshan Temple after burning incense, you can come here for incense Buddha.",https://www.trip.com/travel-guide/attraction/taipei/monga-dizang-temple-31688123?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh2m224x8u6ewyrn34AE_C_180_240_Q70.webp?proc=source%2ftrip
Fort San Domingo,淡水紅毛城, 4.6/5,"['Monday-Friday:', 'Saturday-Sunday:']","['9:30-17:00', '9:30-18:00']",N/A,N/A,1-2 hours,"No.1, Lane 28, Zhongzheng Road,Danshuei District, New Taipei 25158, Taiwan",Free,,"Full of historical and humanistic atmosphere, freshwater red Mao City is full of strong historical and humanistic atmosphere. Visit the interior of red Mao City to understand Taiwan's past history and culture. The exterior buildings are also unique. It is worth visiting. It is worth visiting.",https://www.trip.com/travel-guide/attraction/new-taipei-city/fort-san-domingo-100260?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0103q120009edanpz25B2_C_180_240_Q70.webp?proc=source%2ftrip
Ri Xing Type Foundry,日星鑄字行, 4/5,"['Wednesday,Friday-Saturday:']",['10:00-17:00'],N/A,N/A,N/A,"No. 13, Lane 97, Taiyuan Road, Datong District, Taipei City, Taiwan 103",Free,,"First time to this kind of traditional store, full of novelty for everything. This kind of thing is the best souvenir. It is not as expensive as imagined, civilian price. So everyone I came to buy (of course I still bought the most one...)",https://www.trip.com/travel-guide/attraction/taipei/ri-xing-type-foundry-20905971?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww08120009rl4w6d1216_C_180_240_Q70.webp?proc=source%2ftrip
National Central Library,國家圖書館, 4.6/5,"['Tuesday-Saturday:', 'Sunday:']","['9:00-21:00', '9:00-17:00']",N/A,N/A,1-2 hours,"No. 20, Zhongshan South Road, Zhongzheng District, Taipei 100 Taiwan",Free,,"The area of the National Library is very large. Although the exterior of the building is not as spectacular as we thought it was like the mainland, the library is the heaviest book. The facilities inside are very well-guarded, the atmosphere of reading is very good, and there are exhibitions to see.",https://www.trip.com/travel-guide/attraction/taipei/national-central-library-24653016?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww5i12000chihbz4A94E_C_180_240_Q70.webp?proc=source%2ftrip
Hu Shih Memorial Hall,胡適紀念館, 4.5/5,['Tuesday-Saturday:'],['13:30-16:30;9:30-12:00'],N/A,N/A,1-2 hours,"No. 130, Section 2, Academia Rd, Nangang District, Taipei, Taiwan",Free,,A memorial hall with a relatively few tourists. How can Hu Shi also be a master figure? It may be that I am more interested in these masters during the Republic of China and will come to visit it. I personally recommend it here.,https://www.trip.com/travel-guide/attraction/taipei/hu-shih-memorial-hall-13425734?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww4m1200094bqr7fD018_C_180_240_Q70.webp?proc=source%2ftrip
"Gold Museum, New Taipei City Government",新北市立黃金博物館, 4.5/5,"['Monday-Friday:', 'Saturday-Sunday:']","['09:30-17:00', '09:30-18:00']",N/A,N/A,1-2 hours,"No. 8, Jinguang Rd., Ruifang Dist., New Taipei 22450, Taiwan",$2.32,,"The Gold Museum is located next to the Benshan Five Keng in the Golden Museum Park of Jinguashi Jinguang Road. It is part of the Golden Museum Park. It is the first ecological museum in Taiwan to introduce the development history of Jinguashi mining. It is the first ecological museum in Taiwan, so that modern people can also experience the prosperity of Jinguashi in the past.",https://www.trip.com/travel-guide/attraction/new-taipei-city/gold-museum-new-taipei-city-government-10523898?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100m12000awv0l265A8B_C_180_240_Q70.webp?proc=source%2ftrip
Lengshuikeng Visitor Center,冷水坑遊客服務站, 4.4/5,['Open daily'],['9:00-16:30'],N/A,N/A,2-3 hours,"No. 170, Lane 101, Jingshan Rd, Shilin District, Taipei City, Taiwan 111",Free,,"The cold water pit is also a famous hot spring area in Taipei, but this is not in Beitou, but in Shilin. There are not many people in Beitou. The surrounding scenery is also very good. You can come over if you like it.",https://www.trip.com/travel-guide/attraction/taipei/lengshuikeng-visitor-center-24651185?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b12000000t84dc9EE8_C_180_240_Q70.webp?proc=source%2ftrip
Yinyang Sea,陰陽海, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,1-3 hours,"224, Taiwan, New Taipei City, Ruifang District, Yuxinli",Free,,"""The beautiful Yinyang Sea around the day and night"" Yinyang Sea is named because sulfur flows into the sea with the stream, resulting in different sea color, but in addition to the sea, Yinyang Sea looks at the mountain, you can see the beautiful 13-story ruins and moored ships. It is very worth paying attention to ～",https://www.trip.com/travel-guide/attraction/new-taipei-city/yinyang-sea-22865299?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b11000000r4ocp77C3_C_180_240_Q70.webp?proc=source%2ftrip
Nangang Exhibition Hall,南港展覽館,N/A,['Open daily'],['07:00-22:00'],N/A,N/A,N/A,"No. 1, Jingmao 2nd Rd, Nangang District, Taipei City, Taiwan 115",Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/nangang-exhibition-hall-143198264?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0104012000dc65qql0B79_C_180_240_Q70.webp?proc=source%2ftrip
qi dong jie ri shi su she,齊東街日式宿舍, 5/5,['Tuesday-Sunday:'],['10:00-18:00'],Monday:,Closed all day,1-2 hours,台北市中正區濟南路二段25號,Free,,"Taiwan Literature Base - Located in the Japanese-style dormitory group of Qidong Street, it is the most complete area of the small number of historical buildings in Taiwan, and the first batch of Japanese-style dormitory groups of cultural assets preservation law. The area contains one city monument and nine historical buildings. It not only contains rich local stories and connections with the experience of the citizens, but also highlights the contemporary significance of the activation and reuse of the historical community of the only fruitful Japanese-style dormitory in Taipei. Part 2",https://www.trip.com/travel-guide/attraction/taipei/city-134779797?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01A5622349llanuww09A2_C_180_240_Q70.webp?proc=source%2ftrip
nong chan si shui yue dao chang,農禪寺 水月道場, 5/5,['Open daily'],['09:00-16:00'],N/A,N/A,2-3 hours,大業路65巷89號,Free,,"It is rainy or decided to go out, often too much love here stability, quiet, let people's body and mind as if to another time and space, get rid of the world's troubles and constraints! Ang Angang",https://www.trip.com/travel-guide/attraction/taipei/city-102478253?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100u22154upms49d606F_C_180_240_Q70.webp?proc=source%2ftrip
Dr. Sun Yat-Sen Memorial House,臺北市國父史蹟館(逸仙公園), 4.5/5,['Open daily'],['8:00-17:00'],N/A,N/A,1-2 hours,"No. 46, Section 1, Zhongshan N Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,,"Yixian Park preserves a Japanese-era wooden structure building, the front lawn is planted with plum trees, and the white plums are in full bloom when the cold season is in full bloom, which makes the whole park more beautiful.",https://www.trip.com/travel-guide/attraction/taipei/dr-sun-yat-sen-memorial-house-22846529?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10010y000000m0lfy4A3E_C_180_240_Q70.webp?proc=source%2ftrip
The Grass Mountain Chateau,草山行館, 4.5/5,['Tuesday-Sunday:'],['10:00-17:00'],Monday:,Closed all day,1-3 hours,"No. 89, Hudi Road, Beitou District, Taipei City",Free,,"Caoshan Hall is the first residence of Jiang's couple to reach Taiwan. It is in a very beautiful location in Yangming Mountain. However, we missed the opening time and could only go around outside. We will have a chance to go again in the future.",https://www.trip.com/travel-guide/attraction/taipei/the-grass-mountain-chateau-13345852?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0c15000000yonnu85FE_C_180_240_Q70.webp?proc=source%2ftrip
National Museum of Marine Science and Technology,海洋科技博物館, 4.8/5,['Open daily'],['09:00-17:00 (Tickets available until:16:00)'],N/A,N/A,3-4 hours,"No. 367, Beining Road, Zhongzheng District, Keelung City",$5.01,,"Worth going! During the day, you can see a lot of biology things such as fish, shrimp and crabs in the ocean, and you can also see the evolution of marine culture. The whole museum is around the ocean! Very suitable for children to visit",https://www.trip.com/travel-guide/attraction/keelung/national-museum-of-marine-science-and-technology-24650035?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1lo4p12000chbtlnh0982_C_180_240_Q70.webp?proc=source%2ftrip
"Fujin St, Songshan District",富錦街, 4.7/5,['N/A'],['N/A'],N/A,N/A,1-3 hours,"Fujin St, Songshan District, Taipei City, Taiwan 105",Free,,"convenient to travel,if you come from the train,you have to connect a taxi because if you walk,it will be about 1 kilometer far,there are many coffee shops.",https://www.trip.com/travel-guide/attraction/taipei/fujin-st-songshan-district-24048356?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100n0v000000jyu133354_C_180_240_Q70.webp?proc=source%2ftrip
Shandao Temple,善導寺, 3.9/5,['Tuesday-Sunday:'],['8:00-17:00'],N/A,N/A,2-3 hours,"No. 23, Section 1, Zhongxiao E Rd, Zhongzheng District, Taipei City, Taiwan 100",Free,,This is a temple with strong incense in the local area. The local people come here to pray incense during the holidays. They also come to chant Buddha and pray for hanging up. Their colleagues are also a tourist attraction promoted by the local government.,https://www.trip.com/travel-guide/attraction/taipei/shandao-temple-22847507?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1me38224x8u5od36m74F2_C_180_240_Q70.webp?proc=source%2ftrip
Victoria Garden,維多利亞花園, 4/5,['N/A'],['N/A'],N/A,N/A,N/A,"105, Taiwan, Taipei City, Songshan District, Section 1, Fuxing S Rd, 49號2樓",Free,,The vegetables are well made. The hamburger is fried mushrooms. The fried mushroom skewers are very fragrant. The environment is really in the garden. It feels a bit Western. The overall satisfaction is quite satisfactory.,https://www.trip.com/travel-guide/attraction/taipei/victoria-garden-51626028?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100o120008ke2ke253B6_C_180_240_Q70.webp?proc=source%2ftrip
Fishes The Shrimp Field,車輪釣蝦場, 4.7/5,['Open daily'],['10:30-04:30'],N/A,N/A,3-4 hours,"No.13, Section 3, Zhishan Road, Shilin District, Taipei, Taiwan",Free,,"Yes, a place worth going, like it, go again next time.",https://www.trip.com/travel-guide/attraction/taipei/fishes-the-shrimp-field-58281493?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww1212000948rvd9B240_C_180_240_Q70.webp?proc=source%2ftrip
North Gate,北門, 4.5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Zhongxiao West Road, Section 1, Tucheng, New Taipei 100 Taiwan",Free,,"North Gate is an iconic building in Taipei, but it has long lacked the historical sites and landscape maintenance, and the North Gate viaduct (Zhongxiao Bridge Leadway) opened in 1978 is passed close to the North Gate, which makes the North Gate seriously blocked visually. In view of this, the Taipei Municipal Government launched the urban renewal plan ""West Gate Gate Project"" in 2015, which listed the landscape of the North Gate as one of the key projects, demolishing the North Gate viaduct in early 2016, and creating a square-style open space around the city gate. The north gate is expected to become a historical landmark in Taipei.",https://www.trip.com/travel-guide/attraction/taipei/north-gate-22847501?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/010011200083qzi2o69F3_C_180_240_Q70.webp?proc=source%2ftrip
Shifen Station,十分車站, 4.6/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"Taiwan, New Taipei City, Pingxi District, 226",Free,,"The station is a stop on the Pingxi Line. The station is not big, and there are various shops and restaurants on both sides of the railway. It is recommended to put sky lights here. The photo effect is very good, and the long rail can be photographed. The waiter will help take pictures, and the attitude is super good. It works well at dusk.",https://www.trip.com/travel-guide/attraction/new-taipei-city/shifen-station-24652734?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100u10000000o35ohC795_C_180_240_Q70.webp?proc=source%2ftrip
Luzhou Forbidden City Museum,紫禁城博物館, 5/5,['Saturday-Sunday:'],['10:00-15:30'],N/A,N/A,1-2 hours,"No.30-1 Desheng Street, Luzhou District, New Taipei, Taiwan",Free,,"Forbidden City Museum, a good place to take the baby to punch in on weekends.",https://www.trip.com/travel-guide/attraction/new-taipei-city/luzhou-forbidden-city-museum-33079136?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww1512000946ju5u9BC9_C_180_240_Q70.webp?proc=source%2ftrip
Guandu Temple (Kuantu Temple),關渡宮, 4.8/5,['Open daily'],['07:00-21:00'],N/A,N/A,1-2 hours,"No. 360 Zhixing Rd, Beitou District, Taipei, Taiwan",Free,,"Guandu Palace - commonly known as Guandu Mazu Palace, Guandu Tianhou Palace. Mainly the Taiwan Folk Faith Temple of the Mother of the Heaven, compatible with Buddhism and Taoism, for the oldest and most incense Mazu Temple in North Taiwan, early ""South with Beigang Ma, North related to Duma"" said, respect Beigang Chaotian Palace and Guandu Palace of the Mother of the Heaven. Guandu Palace and Beigang Chaotian Palace, Lugang Tianhou Palace are called ""Taiwan's Three Mazu Temple"". Part 2",https://www.trip.com/travel-guide/attraction/taipei/guandu-temple-92954?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3a120009c4440959A4_C_180_240_Q70.webp?proc=source%2ftrip
Lanyang Museum,蘭陽博物館, 4.5/5,"['Monday-Tuesday,Thursday-Sunday:']",['09:00-17:00 (Tickets available until:16:30)'],Wednesday:,Closed all day,1-2 hours,"Lanyang Museum, Section 3, Qingyun Road, Toucheng Township, Yilan County, Taiwan 261",$2.79,,A peaceful place to go. Love the architecture of the place. The inner have lots of story of Yilan.,https://www.trip.com/travel-guide/attraction/yilan/lanyang-museum-10520706?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/010561200085blxvp8C6B_C_180_240_Q70.webp?proc=source%2ftrip
"Statue of Liberty, Taipei",台北自由女神, 4.2/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"Section 3, Huanhe N Rd, Shilin District, Taipei City, Taiwan 111",Free,,The Statue of Liberty in Taipei is much smaller than the Statue of Liberty in New York. It is near the Americas Bridge and not far from our hotel. It is a small statue.,https://www.trip.com/travel-guide/attraction/taipei/statue-of-liberty-taipei-20905970?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100r0n000000eg5d7E3D2_C_180_240_Q70.webp?proc=source%2ftrip
R.O.C Armed Forces Museum,歷史文物館, 4.5/5,['Open daily'],['Has this place reopened? Let us know!'],N/A,N/A,1-3 hours,"No.243, Section 1, Guiyang Street, Zhongzheng District, Zhongzheng District, Taipei 100 Taiwan",Free,,"The history of the overseas military is displayed here. You can compare it with each other. There is a car at the door to take to the Jiufen Scenic Area. It is very convenient. There are also airport buses! The time of the car can be seen in the zoom, which is convenient for traveling friends~",https://www.trip.com/travel-guide/attraction/taipei/roc-armed-forces-museum-13345868?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww3212000946mb7r8287_C_180_240_Q70.webp?proc=source%2ftrip
Keelung Miaokou Night Market,基隆廟口夜市, 4.6/5,['N/A'],['N/A'],N/A,N/A,2-3 hours,"No. 20, Aisi Road, Ren’ai District, Keelung City",Free,,"Drink watermelon juice, eat crab soup and oil rice, and eat bubble pink, and teach the local uncle's recommendation (nabana wrap), and love the dog, and mototaka's fried fried rice (Wang ki Tenbura No.16) I took it home and stayed for about １ about an hour and a half, but Mototaka was too good. The mini whiteboard I bought at Mototaka's DAISO, it was too convenient to order (the technique I learned on the last day of my stay in Taiwan)",https://www.trip.com/travel-guide/attraction/keelung/keelung-miaokou-night-market-92962?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100n0e000000729zeB2CA_C_180_240_Q70.webp?proc=source%2ftrip
Guling St. Avant-Garde Theater (Guling),牯嶺街小劇場, 4.6/5,"['Wednesday-Friday:', 'Saturday-Sunday:']","['12:00-22:00', '10:00-22:00']",Monday-Tuesday:,Closed all day,1-3 hours,"No. 2, Lane 5, Guling St, Zhongzheng District, Taipei City, Taiwan 100",Free,,"Guling Street - During the Qing Dynasty, this area was originally part of Longxikouzhuang. At the beginning of the Japanese rule period, the street was officially opened. At that time, there were Japanese-style buildings on the street, and many high-level civil servants lived in the dormitory area of Taiwan's Governor's Mansion. In 1946, officially named Guling Street has been used to this day. After 1945, Japanese in Taiwan were returned to Japan one after another, and some difficult-to-carry books, calligraphy and paintings were placed on stalls for sale, and the ""old book stalls"" gathered. part 3",https://www.trip.com/travel-guide/attraction/taipei/guling-st-avant-garde-theater-13345847?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100e0r000000hcrs4AAC7_C_180_240_Q70.webp?proc=source%2ftrip
Discovery Center of Taipei,台北探索館, 4.5/5,"['Monday-Tuesday,Thursday-Sunday:']",['9:00-17:00'],N/A,N/A,1-3 hours,"No. 1號, City Hall Rd, Xinyi District, Taipei City, Taiwan 110",Free,,"After coming out of 101, I just passed here. I didn't need a ticket to visit. The exploration museum is not very big, but the display is quite good, quite good. There are also many city materials in Taipei to see.",https://www.trip.com/travel-guide/attraction/taipei/discovery-center-of-taipei-10520722?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10070h0000008vx4006BC_C_180_240_Q70.webp?proc=source%2ftrip
Tamsui River,淡水河, 4.7/5,['N/A'],['N/A'],N/A,N/A,1-2 hours,"Xining North Road, New Taipei, Taiwan",Free,,"A walk on the riverbank in the evening of the Mid-Autumn Festival - Enjoy the famous freshwater sunset today in the section of the dock where Dr. Vale hippo is ashore, and the entire river is bathed in beautiful golden light.",https://www.trip.com/travel-guide/attraction/new-taipei-city/tamsui-river-23866567?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0100g12000870q5cg02C1_C_180_240_Q70.webp?proc=source%2ftrip
Bugcat World: 10th Anniversary Exhibition of Bugcat Capoo,【台北】《貓貓蟲咖波10週年》特展,N/A,['N/A'],['N/A'],N/A,N/A,N/A,Huashan 1914 Cultural and Creative Park East 2A&2B,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/bugcat-world-10th-anniversary-exhibition-of-bugcat-capoo-148488577?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106s12000er1qxx6A2E3_C_180_240_Q70.webp?proc=source%2ftrip
Wulai Falls,烏來瀑布, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,1-2 hours,"No. 16, Pubu Rd, Wulai District, New Taipei City, Taiwan 233",Free,,"Arrived in Wulai at night, stayed in the soup to eat wild vegetables, and slept beautifully at night. The next day, Wulai Old Street walked, took a small train to Wulai Waterfall, there is a coffee shop next to the waterfall, listen to the waterfall drink coffee to breathe enough oxygen, and fly a small butterfly, too beautiful",https://www.trip.com/travel-guide/attraction/new-taipei-city/wulai-falls-23028119?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106912000a4tccgk0CEE_C_180_240_Q70.webp?proc=source%2ftrip
Taiyuan Asian Puppet Theatre Museum,台原亞洲偶戲博物館, 4.2/5,['N/A'],['N/A'],N/A,N/A,1-2 hours,"No. 79-1, Xining N Rd, Datong District, Taipei City, Taiwan 103",Free,,"The scenery is pleasant, the fun is Hang Seng, and the price is high.",https://www.trip.com/travel-guide/attraction/taipei/taiyuan-asian-puppet-theatre-museum-22846569?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0ww1i12000947h8y15546_C_180_240_Q70.webp?proc=source%2ftrip
Yanping Riverside Park,延平河濱公園,N/A,['Open daily'],['Open all day'],N/A,N/A,N/A,"Diwai Rd, Datong District, Taipei City, Taiwan 103",Free,,"Walking on the riverbank in the evening of the fifth day of the new year - today is the section of the Yanping Riverside Park in the freshwater river, seeing the most successful sunset and the beaming orange glow of the year.",https://www.trip.com/travel-guide/attraction/taipei/yanping-riverside-park-56807456?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0105u1200098zavq1C9E2_C_180_240_Q70.webp?proc=source%2ftrip
