basicName,subTitleName,rating,openDate,openTime,closeDate,closeTime,recommendStayTime,address,price,label,review,url,img
Legacy Taipei,傳音樂展演空間, 4.5/5,['Monday-Friday:'],['10:00-19:00'],N/A,N/A,N/A,"100, Taiwan, Taipei City, Zhongzheng District, Section 1, Bade Road",Free,,"This is a area where the reputation of tourists is not very big to reduce house prices. The area is not as big as Songshan, but there are special performance venues. For those who like niche music, you can come and see if there are performances.",https://www.trip.com/travel-guide/attraction/taipei/legacy-taipei-10354905?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10030r000000hbiz4B808_C_180_240_Q70.webp?proc=source%2ftrip
"St Christopher‘s Church,Taipei",中山北路聖多福天主堂, 4.3/5,['Open daily'],['10:00-20:00'],N/A,N/A,N/A,"No. 51, Section 3, Zhongshan North Road, Zhongshan District, Taipei City",Free,,"The Catholics in Taipei are mainly Filipino laborers, so coming here on weekends can meet many Filipinos at parties and is a way for them to communicate their emotions.",https://www.trip.com/travel-guide/attraction/taipei/st-christophers-churchtaipei-18700412?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100i050000000zommA7C6_C_180_240_Q70.webp?proc=source%2ftrip
Chenguang Bridge,辰光橋, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"241, Taiwan, New Taipei City, Sanchong District, Happy Water Park",Free,,"Walking on the river bank in the evening - Today is the double flood control road section, used to watch the sunset on the Chenguang Bridge, today especially from the bridge, from different angles of this specially designed walking empty bridge.",https://www.trip.com/travel-guide/attraction/new-taipei-city/chenguang-bridge-78468926?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/01035120008jnyhzc7E0F_C_180_240_Q70.webp?proc=source%2ftrip
Mount Guanyin,觀音山, 4.7/5,['N/A'],['N/A'],N/A,N/A,N/A,"Mount Guanyin, Bali District, New Taipei City, Taiwan 249",Free,,"Guanyin Mountain Hard Hanling Trail is a very popular mountaineering trail in Taipei. The end of the Hard Hanling is the highest peak of Guanyin Mountain. It can overlook the 270-degree beautiful scenery of Taipei Basin. It is also a good place to watch the sunrise and night view of Taipei City! Learn about the hard man leading the road line, traffic, you and I can climb the hard manling to challenge the muscle endurance of the thigh! The Hard Hanling Trail along the way is densely shaded and shaded. It is the most comfortable to walk in spring and autumn. In summer, you can feel the coolness of the forest and get rid of the sultry discomfort brought by the urban heat island effect.",https://www.trip.com/travel-guide/attraction/new-taipei-city/mount-guanyin-24653015?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100b0r000000h2kp558C3_C_180_240_Q70.webp?proc=source%2ftrip
Kengkou Community Paint Village,坑口彩繪村, 4.4/5,['Open daily'],['6:00-17:00'],N/A,N/A,N/A,"16 neighbours, Hangkou Village, Luzhu Township",Free,,"This is a country on the edge of the city, a little far from the hustle and bustle of the cozy, a little romantic stroll together, plus a few childhood memories of nostalgia, the flowers and vegetables in the field are the best theme for children to know nature!",https://www.trip.com/travel-guide/attraction/taoyuan/kengkou-community-paint-village-39521908?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100mhk1438pe5qr5s3C19_C_180_240_Q70.webp?proc=source%2ftrip
Guishan Island,龜山島, 4.5/5,['N/A'],['N/A'],N/A,N/A,1-2 days,"Guishan Island, Toucheng Township, Yilan County, Taiwan 261",Free,,"Guishan Island, also known as Guishan Island, is the largest island in Yilan County, and is also the active volcano that still exists in Taiwan. The name is similar to the turtle. The island of Guishan was listed as a military heavy area and became a control area for the national army. On August 1, 2000, Guishan Island officially opened for sightseeing. Special geology, forming many spectacular scenery such as Guishan Asahi, Guidao smoke, glasses hole stalactites, turtle eggs, turtle rock wall, turtle hat, turtle tail and other strange eight scenes.",https://www.trip.com/travel-guide/attraction/yilan/guishan-island-87628?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1A0b15000000xp7emE590_C_180_240_Q70.webp?proc=source%2ftrip
Sanxia Temple,三峽清水祖師廟, 4.6/5,['Open daily'],['05:00-21:30'],N/A,N/A,1-3 hours,"No. 1, Zhangfu St, Sanxia District, New Taipei City, Taiwan 237",Free,,"The ancestral temple, known as the Oriental Art Hall, was built on the banks of the Three Gorges River. The overall building is magnificent and rebuilt by Master Li Meishu. Whether it is stone carving, wood carving, shearing sticky, brick carving and other architectural details, it has reached the highest level of the craft. It is a must-visit classic architectural work of Taiwan architecture students when they study.",https://www.trip.com/travel-guide/attraction/new-taipei-city/sanxia-temple-92955?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0106a120009is7fs35477_C_180_240_Q70.webp?proc=source%2ftrip
Fu Bell,國立臺灣大學傅鐘, 5/5,['Open daily'],['Open all day'],N/A,N/A,N/A,"No. 1號, Section 4, Roosevelt Rd, Da’an District, Taipei City, 106",Free,,"Taiwan University Library - Formerly the Library affiliated to Taipei Imperial University during the Japanese rule of Taiwan, founded in March 1928. Since the old library was built during the Japanese period, with the increase in the number of books and departments, its design configuration has not met the needs of modern operation and insufficient space, so the plan to build a new museum since 1982, the new museum was officially completed and opened on November 14, 1998.",https://www.trip.com/travel-guide/attraction/taipei/fu-bell-137362279?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/1mh542224woxnjqtsF32B_C_180_240_Q70.webp?proc=source%2ftrip
Shihding Ciandao Lake,石碇千島湖, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,2-3 hours,"Shiding Dist., New Taipei, Taiwan",Free,,"Shiqi Qiandao Lake is not as big as Hangzhou Qiandao Lake, but the scenery is also very good. It often attracts many people around here on weekends to come here on foot. It is a place with fresh air and beautiful scenery.",https://www.trip.com/travel-guide/attraction/new-taipei-city/shihding-ciandao-lake-23034248?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/10070s000000hzvo950C2_C_180_240_Q70.webp?proc=source%2ftrip
Jingmei River Bikeway,景美溪自行車道-富德, 4.7/5,['Open daily'],['Open all day'],N/A,N/A,3-6 hours,"No. 50, Sec. 4, Xinglong Rd., Wenshan Dist, Taipei, Taiwan",Free,,"The grass beside the Jingmeixi bicycle lane, today the weeding car runs, the egrets follow the insects to enjoy benefits ^_^ Today's iron horse travel, come to Jingmeixi, visit Jingmeixi bicycle lane. Jingmeixi Bicycle Road, starting at Muzha Zoo, ending at Jingmeixi Estuary, the total length is about 9 kilometers, and then connecting the Xindianxi Bicycle Road. Today's trip, plan to ride downstream along Jingmeixi, pick up Xindianxi, ride all the way to the Shuangyuan Riverside Park at the mouth of Xindianxi River, about 20 kilometers in length, and then take the MRT Longshan Temple Station to the Muzha Zoo. Such planning, combined with iron horse and MRT, and can be arranged so because Taipei area YouBike system is built and perfect, you can rent a car at the zoo station, Longshan Temple return the car, iron horse travel to the MRT connection, the itinerary is flexible and flexible.",https://www.trip.com/travel-guide/attraction/new-taipei-city/jingmei-river-bikeway-22846584?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/100qhk11500gf2du8F52E_C_180_240_Q70.webp?proc=source%2ftrip
tao zhu yin yuan,陶朱隱園,N/A,['Open daily'],['Open all day'],N/A,N/A,N/A,110台灣臺北市信義區松勇路,Free,,N/A,https://www.trip.com/travel-guide/attraction/taipei/city-124251990?curr=USD&locale=en-US,https://ak-d.tripcdn.com/images/0101s12000bp9d20319C7_C_180_240_Q70.webp?proc=source%2ftrip
